comment,ip
"超级好看！十分推荐!我们零零后从来不是垮掉的一代!演员们演技很到位!剧情反转又反转!非常好!同时也谢谢革命先烈们的英勇才有了今天的生活
🌟 推荐，十分推荐!啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊真的巨好看!都给我去看!啊啊啊啊啊啊",无法获取
棒极了 喜欢 推荐二刷,北京
"🌟 推荐
好看  很多年没去电影院了 冲这个电影去的 故事线完整
有几个片段反转的还没有看明白 值得二刷
😊 演技
王源演技可以啊 听过他那首骄傲还不错 没想到演技也有点子水平 真是全面开花
😭 哭点
一民被“嘲笑”穿的破烂时真的很心酸
还有梦华牺牲时 一民的哭那叫一个让人心疼
三个人最后的结局也是 我哭哭哭",重庆
青涩典典型型壮片！,云南
全员真假难辨，区分不出善恶，但是超级好看，反转反转再反转，超级精彩,山西
演的很好，很值得看,陕西
非常非常好，从小源歌迷变影迷啦，期待未来有更多好作品，剧情反转很多，全程都很紧张，一直紧紧吸引着我，最后结局也是意想不到，推荐去看看,湖北
"好导演 好演员 好故事 感情线刻画很细腻 故事完整  紧张刺激  作为谍战悬疑片 影片在行动逻辑和悬念设置这块相当优秀🌟

《孤星计划》看的过程会随着剧情推进而身体紧绷 在理想的的道路上 不分大小 只要朝着理想 勇敢无畏前进 我们每个人都是自己的英雄 👏m

非常值得二刷三刷🌟🌟🌟🌟🌟",上海
"抛除粉丝滤镜，电影真的好看！
反正结尾也是我喜欢的类型，反转反转再反转跟着剧情推进，我真的替角色们捏了一把汗，好几次都紧张到我了，后面也好感动，到后面看见他们甚至都不知道护送的是谁而付出生命一整个爆哭，没有他们这些人哪来的我们现在的盛世中华呢，结尾好评哈哈哈哈
王源演技真的有提升！说话声音真的好有质感，李一民太棒了🌟👏",辽宁
确实不错，很多反转的地方,广东
整体下来都很好每个人的眼神神态都很到位，喜欢喜欢，祝大卖,河北
棒极了！！！,辽宁
真的很厉害 导演在剧里有很多细节 真的很多 不是粉丝 完全被剧情吸引了 每一个演员的演技都不出戏 非常好 如果是在节假日上映 我相信票房肯定更高 如果想看电影真的冲！就是宣传团队很不给力 电影那么多细节不拿出来说 全营销男主去了,福建
剧情真就是反转反转在反转，很刺激看的人惊心动魄，演员们的演技都非常好尤其是王源的眼神戏啊啊啊啊真的很喜欢!,广东
情节环环相扣，悬念丛生，人物鲜活立体，剧情也很吸引人，全员演技在线,江苏
不仅剧情跌宕起伏，在感动、悲伤、震惊中来回拉扯。而且演员们的演技也全都在线！巨好看,福建
