comment,ip
"我一直以为中国的动画，只能画奇幻故事才能体现其优势，感觉好像很少有现实题材。而且众所周知，剧情也确实是现在动画电影的一个短板。

今天看了醒狮少年 2，才知道什么叫动画电影不做奇幻内容也是可以非常出彩的，真想让现在拍真人电影的有些导演看看，什么叫剧情，什么叫分镜，什么叫动作，什么叫美学。

可以说第二部和醒狮没啥关系，但是和醒狮少年很有关系。比第一部做的更好。内容不一样，自然不能说谁比谁好。但是画面细节真的越来越好。剧情不划水，节奏很快。也有遗憾：那些恰烂钱造谣的网红，伤害男主的跟风人士，没有一个道歉的。",广东
剧情好看，带孩子去看很不错！,贵州
这么好看的电影被忽略了，感觉比减肥片好看多了，如果拍成真人版绝对不错,广东
剧情跌宕起伏，很好看,江苏
"看完了，故事叙述的方式比第一部更成熟了。每一个人都有属于自己的生活轨迹。但每个人都应该为了自己争口气。不管是舞狮还是武术，都属于一个载体，人不管在何环境，如果环境不能马上改变，但为自己争口气还是可以。当然你如果不想争口气也可以，那也属于每个人的选择，但请不要带着自己的偏见去**和贬低那些在为自己争口气的人,因为不配。",广东
非常好看，建议大家都去看看,新疆
还是我大动画好看，剧情很流畅，精神很贴题，希望每个人都能成为雄狮！,四川
还可以  值得一看,四川
好看！剧情流畅，铺垫得又好，特别燃，第一部拍的也超好，但没去电影院看，一直后悔没去影院支持，第二部终于看上啦，强推！,云南
😊 演技演技超棒,北京
剧情很王道，画面太优秀了,安徽
衔接这上部舞狮元素，想说真的很好看别黑这部剧了有些人看都没有看过就来黑，没谁了,无法获取
很不错的电影，就是个电影里面看到了19岁的我,北京
电影的色彩和剧情还是很可以的，适合周末放松看看，也可以带小孩来看，很喜欢这种主题的哈哈哈哈。,浙江
2024年12月14日,北京
希望有机会在电影院看到第三部，娟猫狗我爱你们。,新疆
巨好看啊，全中国的人都给我去看。看完都不愿意走，看到字幕播完，亮灯了。我看我儿子眼睛亮晶晶的。他说妈妈真好看。,广东
剧情不错，感到很励志,安徽
